asset,entry_day,hold_days,trades,win_rate_pct,avg_return_pct,median_return_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_pct,worst_return_pct,best_return_pct,quality_score,payoff_ratio,loss_rate_pct,gross_profit_pct,gross_loss_pct,return_std_pct,downside_std_pct,sharpe_like,sortino_like,max_consecutive_losses,max_consecutive_wins
ETH,3,10,105,46.67,0.39,-0.52,9.67,-7.73,1.1,0.39,-31.76,39.68,56.23,1.25,53.33,473.82,432.69,11.99,6.47,0.03,0.06,7.0,6.0
SOL,1,1,99,38.38,-0.68,-0.96,3.08,-3.02,0.64,-0.68,-14.97,9.0,0.93,1.02,61.62,117.21,184.36,3.96,2.66,-0.17,-0.25,5.0,4.0
SOL,1,2,99,35.35,-1.18,-1.35,4.23,-4.13,0.56,-1.18,-11.88,13.09,-21.7,1.02,64.65,147.98,264.4,5.1,2.98,-0.23,-0.39,9.0,4.0
SOL,1,3,98,43.88,-0.8,-1.42,5.28,-5.56,0.74,-0.8,-15.21,15.5,0.37,0.95,56.12,227.13,305.63,6.77,3.98,-0.12,-0.2,7.0,5.0
SOL,1,4,98,46.94,-0.58,-0.42,5.31,-5.79,0.81,-0.58,-21.63,20.17,11.86,0.92,53.06,244.28,300.99,7.26,4.8,-0.08,-0.12,6.0,5.0
SOL,1,5,98,44.9,-0.76,-0.46,6.42,-6.6,0.79,-0.76,-23.42,43.11,3.53,0.97,55.1,282.35,356.51,9.13,5.68,-0.08,-0.13,6.0,6.0
SOL,1,6,97,42.27,-0.76,-0.83,7.77,-7.0,0.81,-0.76,-27.5,38.03,2.77,1.11,57.73,318.39,392.05,10.06,6.24,-0.08,-0.12,6.0,4.0
SOL,1,7,97,45.36,-1.0,-0.97,7.27,-7.86,0.77,-1.0,-33.53,32.39,-6.45,0.92,54.64,319.92,416.8,10.04,6.76,-0.1,-0.15,7.0,5.0
SOL,1,8,97,43.3,-1.7,-1.53,7.82,-8.97,0.67,-1.7,-25.68,37.08,-37.35,0.87,56.7,328.5,493.37,10.77,6.53,-0.16,-0.26,7.0,4.0
SOL,1,9,97,41.24,-1.29,-1.78,9.48,-8.85,0.75,-1.29,-25.57,40.92,-20.08,1.07,58.76,379.2,504.35,11.52,6.61,-0.11,-0.2,6.0,4.0
