asset,episode_id,start_date,end_date,duration_days,start_close,end_close,min_close,max_close,start_rsi2,end_rsi2,min_rsi2,ret_day1_hold3_pct,ret_day2_hold3_pct,ret_day3_hold3_pct,ret_after_episode_hold3_pct
BTC,BTC_80,2026-02-16,2026-02-18,3,68860.0,66425.7,66425.7,68860.0,7.56,0.0,0.0,-2.77,0.77,2.32,0.98
BTC,BTC_81,2026-02-22,2026-02-24,3,67612.1,64061.9,64061.9,67612.1,0.0,0.0,0.0,0.54,4.39,2.82,-1.46
BTC,BTC_82,2026-02-27,2026-02-27,1,65869.7,65869.7,65869.7,65869.7,0.0,0.0,0.0,4.46,,,2.02
BTC,BTC_83,2026-03-06,2026-03-08,3,68128.0,65978.7,65978.7,68128.0,0.0,0.0,0.0,0.47,3.99,6.4,3.03
BTC,BTC_84,2026-03-18,2026-03-19,2,71270.9,69911.9,69911.9,71270.9,0.0,0.0,0.0,-3.32,-2.94,,0.53
BTC,BTC_85,2026-03-22,2026-03-22,1,67857.1,67857.1,67857.1,67857.1,0.0,0.0,0.0,5.09,,,-2.97
BTC,BTC_86,2026-03-27,2026-03-29,3,66358.3,65950.3,65950.3,66358.3,0.0,0.0,0.0,0.55,2.86,3.26,0.23
BTC,BTC_87,2026-04-02,2026-04-03,2,66880.8,66933.0,66880.8,66933.0,0.0,4.11,0.0,3.14,2.88,,6.9
BTC,BTC_88,2026-04-12,2026-04-12,1,70754.1,70754.1,70754.1,70754.1,3.63,3.63,3.63,5.73,,,0.97
BTC,BTC_89,2026-04-19,2026-04-19,1,73827.6,73827.6,73827.6,73827.6,0.0,0.0,0.0,5.93,,,3.21
BTC,BTC_90,2026-04-24,2026-04-24,1,77455.0,77455.0,77455.0,77455.0,8.76,8.76,8.76,-0.1,,,-1.7
BTC,BTC_91,2026-04-28,2026-04-29,2,76331.9,75750.3,75750.3,76331.9,0.0,0.0,0.0,2.49,3.84,,2.93
BTC,BTC_92,2026-05-12,2026-05-13,2,80492.3,79292.1,79292.1,80492.3,0.0,0.0,0.0,-1.78,-1.47,,-4.51
BTC,BTC_93,2026-05-16,2026-05-19,4,78122.8,76756.3,76756.3,78122.8,0.0,0.0,0.0,-1.75,0.09,0.78,-1.04
BTC,BTC_94,2026-05-22,2026-05-22,1,75456.5,75456.5,75456.5,75456.5,3.25,3.25,3.25,2.4,,,-1.1
BTC,BTC_95,2026-05-27,2026-05-29,3,74337.1,73370.7,73370.7,74337.1,0.0,0.0,0.0,-0.78,0.07,-2.8,-9.6
BTC,BTC_96,2026-06-01,2026-06-06,6,71317.5,60855.7,60855.7,71317.5,0.0,0.0,0.0,-10.52,-8.45,-4.97,-2.91
BTC,BTC_97,2026-06-09,2026-06-10,2,61690.4,61464.4,61464.4,61690.4,0.0,0.0,0.0,3.0,4.78,,3.4
BTC,BTC_98,2026-06-17,2026-06-18,2,64454.8,62885.6,62885.6,64454.8,0.0,0.0,0.0,-0.32,0.55,,0.74
BTC,BTC_99,2026-06-24,2026-06-25,2,60980.8,59707.1,59707.1,60980.8,0.0,0.0,0.0,-1.23,0.88,,0.37
SPY,SPY_1,2025-08-25,2025-08-27,3,639.26,638.83,638.83,639.26,0.0,0.0,0.0,0.54,0.61,-0.87,-0.9
SPY,SPY_2,2025-09-02,2025-09-02,1,633.3,633.3,633.3,633.3,0.0,0.0,0.0,1.69,,,1.11
SPY,SPY_3,2025-09-06,2025-09-06,1,643.99,643.99,643.99,643.99,0.0,0.0,0.0,1.0,,,1.27
